Titre :;Indicateur mensuel du climat des affaires dans l'industrie manufacturière (cvs);Industrie manufacturière, situation actuelle de l'état du carnet de commandes (CVS);Industrie manufacturière, évolution des commandes reçues par rapport au mois précédent (CVS);Industrie manufacturière, évolution des livraisons par rapport au mois précédent (CVS);Industrie manufacturière, évolution de la production par rapport au mois précédent (CVS);Industrie manufacturière, prévisions de production à 1 mois (CVS);Industrie manufacturière, évolution du stock des produits finis par rapport au mois précédent (CVS);Industrie manufacturière, situation actuelle des stocks de produits finis (CVS);Industrie manufacturière, taux moyen d'utilisation des capacités de production (CVS);Indicateur mensuel du climat des affaires dans les services marchands (cvs);Services marchands, évolution de l'activité par rapport au mois précédent (CVS);Services marchands, prévisions d'évolution de l'activité à 1 mois (CVS);Services marchands, évolution de la demande globale par rapport au mois précédent (CVS);Services marchands, prévisions d'évolution de la demande globale à 1 mois (CVS);Indicateur du climat des affaires dans le bâtiment (CVS);Bâtiment, Evolution de l'activité par rapport au mois précédent (CVS);Bâtiment, Prévisions de l'activité à 1 mois (CVS);Bâtiment, Situation actuelle de l'état du carnet de commande (CVS)
Code série :;CONJ.M.N01.S.IN.000CZ.ICAIN181.10;CONJ.M.N01.S.IN.000CZ.CCTSM000.10;CONJ.M.N01.S.IN.000CZ.CRTEM100.10;CONJ.M.N01.S.IN.000CZ.LITEM100.10;CONJ.M.N01.S.IN.000CZ.PRTEM100.10;CONJ.M.N01.S.IN.000CZ.PRTPM100.10;CONJ.M.N01.S.IN.000CZ.PVTEM100.10;CONJ.M.N01.S.IN.000CZ.PVTSM000.10;CONJ.M.N01.S.IN.000CZ.TUTSM000.10;CONJ.M.N01.S.SM.00NAT.ICASM182.1A;CONJ.M.N01.S.SM.00NAT.ACTEM100.1A;CONJ.M.N01.S.SM.00NAT.ACTPM100.1A;CONJ.M.N01.S.SM.00NAT.DETEM100.1A;CONJ.M.N01.S.SM.00NAT.DETPM100.1A;CONJ.M.N01.S.BA.00NAT.ICA00183.10;CONJ.M.N01.S.BA.00NAT.ACTEM100.10;CONJ.M.N01.S.BA.00NAT.ACTPM100.10;CONJ.M.N01.S.BA.00NAT.CCTSM000.10
Unité :;Indice (INDI);Solde d'opinion (SO);Solde d'opinion (SO);Solde d'opinion (SO);Solde d'opinion (SO);Solde d'opinion (SO);Solde d'opinion (SO);Solde d'opinion (SO);Pourcent (PC);Indice (INDI);Solde d'opinion (SO);Solde d'opinion (SO);Solde d'opinion (SO);Solde d'opinion (SO);Solde d'opinion (SO);Solde d'opinion (SO);Solde d'opinion (SO);Solde d'opinion (SO)
Magnitude :;Unités (0);Unités (0);Unités (0);Unités (0);Unités (0);Unités (0);Unités (0);Unités (0);Unités (0);Unités (0);Unités (0);Unités (0);Unités (0);Unités (0);Unités (0);Unités (0);Unités (0);Unités (0)
Méthode d'observation :;Moyenne de la période (A);Fin de période (E);Fin de période (E);Fin de période (E);Fin de période (E);Fin de période (E);Fin de période (E);Fin de période (E);Fin de période (E);Moyenne de la période (A);Moyenne de la période (A);Moyenne de la période (A);Moyenne de la période (A);Moyenne de la période (A);Moyenne de la période (A);Moyenne de la période (A);Moyenne de la période (A);Moyenne de la période (A)
Source :;Banque de France (FR2);Banque de France (FR2);Banque de France (FR2);Banque de France (FR2);Banque de France (FR2);Banque de France (FR2);Banque de France (FR2);Banque de France (FR2);Banque de France (FR2);Banque de France (FR2);Banque de France (FR2);Banque de France (FR2);Banque de France (FR2);Banque de France (FR2);Banque de France (FR2);Banque de France (FR2);Banque de France (FR2);Banque de France (FR2)
1990-01-31;114,873;25,79;18,93;12,09;12,17;14,7;0,45;7,72;87,54;119,22;;;;;;;;
1990-02-28;113,834;30,14;14,36;11,61;9,84;16,18;1,56;4,42;87,41;120,62;;;;;;;;
1990-03-31;113,839;26,09;11,08;22,09;17,86;12,93;-2,09;6,17;87,04;118,9;;;;;;;;
1990-04-30;111,206;21,32;9,59;12,08;7,05;11,09;1,54;4,88;87,29;119,04;;;;;;;;
1990-05-31;112,501;20,92;17,54;19;14,53;12,74;-2,55;7,18;86,94;117,12;;;;;;;;
